product_id,product_category,price
1,perfumery,287.0
2,art,276.0
3,sports_leisure,250.0
4,baby,261.0
5,housewares,402.0
6,musical_instruments,745.0
7,cool_stuff,1272.0
8,furniture_decor,184.0
9,home_appliances,163.0
10,toys,1156.0
11,bed_bath_table,630.0
12,baby,728.0
13,musical_instruments,1827.0
14,furniture_decor,2083.0
15,construction_tools_safety,1602.0
16,sports_leisure,3021.0
17,perfumery,346.0
18,computers_accessories,636.0
19,furniture_decor,296.0
20,bed_bath_table,206.0
21,furniture_decor,158.0
22,bed_bath_table,329.0
23,health_beauty,1987.0
24,baby,1627.0
25,furniture_decor,209.0
26,housewares,968.0
27,luggage_accessories,573.0
28,computers_accessories,1101.0
29,computers_accessories,1890.0
30,sports_leisure,529.0
31,bed_bath_table,206.0
32,garden_tools,1163.0
33,furniture_decor,208.0
34,office_furniture,476.0
35,sports_leisure,699.0
36,baby,708.0
37,auto,1062.0
38,electronics,806.0
39,housewares,352.0
40,furniture_decor,502.0
41,furniture_decor,254.0
42,toys,471.0
43,bed_bath_table,509.0
44,baby,980.0
45,cool_stuff,1701.0
46,toys,866.0
47,cool_stuff,1176.0
48,furniture_decor,303.0
49,furniture_decor,1972.0
50,health_beauty,330.0
51,sports_leisure,3218.0
52,cool_stuff,410.0
53,auto,311.0
54,baby,509.0
55,luggage_accessories,1291.0
56,fashion_shoes,402.0
57,telephony,427.0
58,cool_stuff,1252.0
59,stationery,488.0
60,toys,423.0
61,sports_leisure,956.0
62,stationery,144.0
63,health_beauty,1069.0
64,fashion_bags_accessories,554.0
65,stationery,92.0
66,stationery,198.0
67,sports_leisure,255.0
68,garden_tools,200.0
69,computers,1067.0
70,auto,1543.0
71,home_construction,1441.0
72,watches_gifts,489.0
73,cool_stuff,992.0
74,construction_tools_construction,339.0
75,pet_shop,463.0
76,health_beauty,1469.0
77,small_appliances,587.0
78,perfumery,150.0
79,watches_gifts,484.0
80,agro_industry_and_commerce,430.0
81,health_beauty,1313.0
82,health_beauty,1168.0
83,bed_bath_table,1146.0
84,garden_tools,671.0
85,perfumery,460.0
86,musical_instruments,2367.0
87,bed_bath_table,381.0
88,bed_bath_table,607.0
89,furniture_decor,1750.0
90,computers_accessories,163.0
91,sports_leisure,101.0
92,health_beauty,2497.0
93,health_beauty,1146.0
94,sports_leisure,900.0
95,telephony,319.0
96,furniture_decor,1186.0
97,auto,703.0
98,auto,361.0
99,watches_gifts,899.0
100,bed_bath_table,701.0
101,furniture_decor,1405.0
102,computers_accessories,504.0
103,watches_gifts,276.0
104,furniture_decor,287.0
105,baby,1039.0
107,sports_leisure,663.0
108,bed_bath_table,170.0
109,small_appliances,794.0
110,housewares,414.0
111,furniture_living_room,312.0
112,sports_leisure,425.0
113,home_construction,918.0
114,pet_shop,617.0
115,housewares,270.0
116,furniture_decor,275.0
117,bed_bath_table,381.0
118,bed_bath_table,223.0
119,telephony,1930.0
120,luggage_accessories,244.0
121,perfumery,733.0
122,sports_leisure,1049.0
123,signaling_and_security,1212.0
124,air_conditioning,547.0
125,fashion_bags_accessories,1398.0
126,furniture_decor,160.0
127,sports_leisure,245.0
128,telephony,1254.0
130,art,1431.0
131,bed_bath_table,261.0
132,garden_tools,884.0
133,fashion_bags_accessories,68.0
134,baby,410.0
135,consoles_games,303.0
136,housewares,943.0
137,luggage_accessories,540.0
138,bed_bath_table,222.0
139,consoles_games,235.0
140,sports_leisure,329.0
141,sports_leisure,144.0
142,cool_stuff,797.0
143,consoles_games,439.0
144,watches_gifts,438.0
145,toys,852.0
147,baby,805.0
148,furniture_living_room,420.0
149,auto,386.0
150,home_appliances,273.0
151,watches_gifts,572.0
152,bed_bath_table,700.0
153,auto,1548.0
154,sports_leisure,448.0
156,toys,410.0
157,health_beauty,257.0
158,health_beauty,863.0
159,housewares,290.0
160,garden_tools,680.0
161,sports_leisure,785.0
162,telephony,244.0
163,office_furniture,2220.0
164,watches_gifts,599.0
165,sports_leisure,649.0
166,fashion_bags_accessories,401.0
167,auto,907.0
168,housewares,390.0
169,home_construction,918.0
170,fashion_bags_accessories,382.0
171,housewares,42.0
172,computers_accessories,764.0
173,sports_leisure,406.0
174,stationery,198.0
175,sports_leisure,853.0
176,telephony,776.0
177,books_general_interest,2913.0
178,computers_accessories,585.0
179,perfumery,1063.0
180,toys,181.0
181,costruction_tools_tools,369.0
182,toys,274.0
183,telephony,744.0
184,garden_tools,2395.0
185,housewares,470.0
186,fashion_underwear_beach,422.0
187,luggage_accessories,413.0
188,electronics,374.0
189,housewares,388.0
190,auto,162.0

